date,Gangwon,Gyeonggi,Gyeongnam,Gyeongbuk,Gwangju,Daegu,Daejeon,Busan,Seoul,Ulsan,Incheon,Jeonnam,Jeonbuk,Jeju,Chungnam,Chungbuk,year,Korea,date2
2024-05-22,0.07900112867355347,0.10822686553001404,0.107585608959198,0.04740695655345917,0.1356869637966156,0.1347694844007492,0.11758061498403549,0.20038646459579468,0.17276643216609955,0.147495836019516,0.18001815676689148,0.110691599547863,0.08994545042514801,0.11165272444486618,0.07572899013757706,0.06965301930904388,2024,1.8885962963104248,05-22
2024-05-23,0.11114071309566498,0.17297989130020142,0.10774321854114532,0.0948123186826706,0.14729778468608856,0.14587917923927307,0.1430579125881195,0.16804707050323486,0.1924341917037964,0.1201329231262207,0.16567735373973846,0.12044154107570648,0.13317838311195374,0.11317595839500427,0.12668555974960327,0.11194517463445663,2024,2.1746291741728783,05-23
2024-05-24,0.15231157839298248,0.18512022495269775,0.18260973691940308,0.20705139636993408,0.18963928520679474,0.21268044412136078,0.18184110522270203,0.20022904872894287,0.21331241726875305,0.17228293418884277,0.174740731716156,0.17523175477981567,0.1785612553358078,0.1460956633090973,0.15174269676208496,0.16039592027664185,2024,2.883846193552017,05-24
2024-05-25,0.13273997604846954,0.15069660544395447,0.1891520917415619,0.12177356332540512,0.17429938912391663,0.18590673804283142,0.15723571181297302,0.21276482939720154,0.1914646178483963,0.17133525013923645,0.18187683820724487,0.17360809445381165,0.13838332891464233,0.1210133284330368,0.11408499628305435,0.12484320253133774,2024,2.541178561747074,05-25
2024-05-26,0.1239289939403534,0.11548872292041779,0.13778215646743774,0.10241501778364182,0.14900369942188263,0.1556260585784912,0.1361272931098938,0.19375789165496826,0.16313426196575165,0.15205548703670502,0.157710999250412,0.12368092685937881,0.12654650211334229,0.11018172651529312,0.10138660669326782,0.10529039800167084,2024,2.154116742312908,05-26
2024-05-27,0.12806501984596252,0.13780343532562256,0.12914133071899414,0.11428099870681763,0.14329849183559418,0.15069988369941711,0.1351989060640335,0.17893581092357635,0.1496446430683136,0.14610078930854797,0.14371728897094727,0.12249752134084702,0.13010337948799133,0.12212453782558441,0.11052191257476807,0.11179693788290024,2024,2.153930887579918,05-27
2024-05-28,0.1344917267560959,0.21913230419158936,0.13859304785728455,0.11708857119083405,0.15138603746891022,0.14962416887283325,0.14518243074417114,0.169607475399971,0.18485257029533386,0.13160830736160278,0.16065740585327148,0.1439320594072342,0.1446378231048584,0.12818825244903564,0.1385827511548996,0.12973004579544067,2024,2.387294977903366,05-28
2024-05-29,0.13414424657821655,0.20984946191310883,0.13872259855270386,0.12643012404441833,0.15569809079170227,0.15615898370742798,0.15291821956634521,0.16527366638183594,0.1924392133951187,0.13178056478500366,0.1650497317314148,0.152040034532547,0.15201601386070251,0.13534054160118103,0.15090221166610718,0.13586093485355377,2024,2.4546246379613876,05-29
2024-05-30,0.12589217722415924,0.1381370723247528,0.1402864158153534,0.11943968385457993,0.1581924557685852,0.1520848274230957,0.1407037377357483,0.16156139969825745,0.15666869282722473,0.13394470512866974,0.1457703411579132,0.14591315388679504,0.14888949692249298,0.11781758815050125,0.12532106041908264,0.11831201612949371,2024,2.2289348244667053,05-30
2024-05-31,0.12843364477157593,0.15967342257499695,0.1365589201450348,0.12129510939121246,0.14735636115074158,0.14334595203399658,0.1313038021326065,0.15657547116279602,0.1544715166091919,0.1301357001066208,0.14416393637657166,0.1314745992422104,0.13583147525787354,0.11712256073951721,0.11809840798377991,0.11416536569595337,2024,2.1700062453746796,05-31
