date,Gangwon,Gyeonggi,Gyeongnam,Gyeongbuk,Gwangju,Daegu,Daejeon,Busan,Seoul,Ulsan,Incheon,Jeonnam,Jeonbuk,Jeju,Chungnam,Chungbuk,year,Korea,date2
2024-05-20,0.10843707621097565,1.0062705278396606,0.09653186798095703,0.1292482614517212,0.06325920671224594,0.06030012294650078,0.06727167218923569,0.03327573463320732,0.2118607610464096,0.028231291100382805,0.07544972747564316,0.12641581892967224,0.13559213280677795,0.030183587223291397,0.23282884061336517,0.12663201987743378,2024,2.5317886490374804,05-20
2024-05-21,0.142378568649292,1.2061023712158203,0.405394583940506,0.30909353494644165,0.10822142660617828,0.07824293524026871,0.08347512036561966,0.06709744781255722,0.24395668506622314,0.04344320669770241,0.09134415537118912,0.38439494371414185,0.3248510956764221,0.052907973527908325,0.44769224524497986,0.2499665915966034,2024,4.238562885671854,05-21
2024-05-22,0.155755877494812,1.3511857986450195,0.5144314765930176,0.4860941469669342,0.10761991143226624,0.1011466532945633,0.11073716729879379,0.0579615980386734,0.28663700819015503,0.043062321841716766,0.08968967944383621,0.33991992473602295,0.27508455514907837,0.05022022873163223,0.46873214840888977,0.36409762501716614,2024,4.8023761212825775,05-22
2024-05-23,0.07742895931005478,0.555317759513855,0.37794551253318787,0.35354676842689514,0.076673723757267,0.09402674436569214,0.08051954209804535,0.0859680101275444,0.24541273713111877,0.06689755618572235,0.05468263477087021,0.15056465566158295,0.09030646830797195,0.05242806673049927,0.11995987594127655,0.10308059304952621,2024,2.58475960791111,05-23
2024-05-24,0.0432889461517334,0.20103240013122559,0.1944836974143982,0.11886758357286453,0.06548701226711273,0.07969953864812851,0.07283912599086761,0.0670752078294754,0.2387496381998062,0.05567912012338638,0.035188864916563034,0.10115471482276917,0.059284646064043045,0.05476635694503784,0.052609991282224655,0.05980253964662552,2024,1.5000093840062618,05-24
2024-05-25,0.04196595028042793,0.14375929534435272,0.07767536491155624,0.07281538099050522,0.04793599247932434,0.06761594116687775,0.043726757168769836,0.04352039098739624,0.1166544035077095,0.04074738919734955,0.031399063766002655,0.07861410081386566,0.05303050950169563,0.035746920853853226,0.050313737243413925,0.04693412408232689,2024,0.9924553222954273,05-25
2024-05-26,0.05016149953007698,0.17917989194393158,0.05663898587226868,0.07052110880613327,0.03888207674026489,0.050959594547748566,0.038275327533483505,0.03753655031323433,0.09318996220827103,0.03502568230032921,0.02838733233511448,0.05626348778605461,0.0488375760614872,0.033010538667440414,0.05696218088269234,0.05040101334452629,2024,0.9242328088730574,05-26
2024-05-27,0.02831409126520157,0.16507837176322937,0.037643153220415115,0.04617073014378548,0.030850477516651154,0.0384703129529953,0.033918265253305435,0.026335803791880608,0.09401967376470566,0.026959897950291634,0.029485350474715233,0.035182565450668335,0.03577103838324547,0.02108042500913143,0.04247410595417023,0.03940364718437195,2024,0.731157910078764,05-27
2024-05-28,0.01796986348927021,0.08527056127786636,0.0334056057035923,0.031182361766695976,0.029651746153831482,0.03234834596514702,0.03121546283364296,0.023249046877026558,0.07819665968418121,0.021830495446920395,0.02531816065311432,0.04044249281287193,0.03715257719159126,0.02297363057732582,0.039004627615213394,0.030427156016230583,2024,0.5796387940645218,05-28
2024-05-29,0.014969933778047562,0.04482590779662132,0.03400524705648422,0.025195512920618057,0.026189621537923813,0.026946494355797768,0.024507705122232437,0.022651614621281624,0.061834465712308884,0.019801737740635872,0.022448474541306496,0.04161255434155464,0.028894102200865746,0.02474701963365078,0.03040388599038124,0.02205311506986618,2024,0.47108739241957664,05-29
